Artist,Title,Producer,Features,Duet/Trio
Cardi B,Up,Yung Dza,,
Silk Sonic,Leave The Door Open,Bruno Mars,Bruno Mars & Anderson .Paak,Duet/Trio
Olivia Rodrigo,Drivers License,Daniel Nigro,,
Drake,What's Next,Maneesh,,
The Weeknd,Save Your Tears,Max Martin,,
The Weeknd,Blinding Lights,Max Martin,,
Dua Lipa,Levitating,Stuart Price,DaBaby,Duet
24kGoldn,Mood,KBeazy,iann dior,Duet
Arianna Grande,34 + 35,Peter Lee Johnson,,
Drake,Wants and Needs,Cardo,Lil Baby,Duet
Chris Brown,Go Crazy,Muphy Kid,Young Thug,Duet
Pop Smoke,What You Know About Love,YC,,
Lil Tjay,Calling My Phone,Bordeaux,6lack,Duet
Pooh Shiesty,Back in Blood,YC,Lil Durk,Duet
Billie Eilish,Therefore I Am,Finneas O'Connell,,
Doja Cat,Streets,Blaq Tuxedo,,
Arianna Grande,Positions,London on da Track,,
Yung Bleu,You're Mines Still,Rhoads,Drake,Duet
Tate McRae,You Broke Me First,Blake Harnage,,
SpotemGottem,Beat Box,Damn E,Pooh Shiesty & DaBaby,Duet/Trio
Saweetie,Best Friend,Dr. Luke,Doja Cat,Duet
Bad Bunny,Dakiti,Bad Bunny,Jhay Cortez,Duet
Lil Baby,On Me,Chi Chi,,
Pop Smoke,For The Night,Palaze,Lil Baby & DaBaby,Duet/Trio
Masked Wolf,Astronaut in the Ocean,Tyron Hapi,,
Coi Leray,No More Parties,Maaly Raw,Lil Durk,Duo
Sza,Good Days,Carter Lang,,
Machine Gun Kelly,My Ex's Best Friend,Travis Barker,blackbear,Duo
Thomas Rhett,What's Your Country Song,Dann Huff,,
Giveon,Heartbreak Anniversary,Maneesh,,
